system:index,B1,B2,B3,B4,B5,B6_VCID_1,B6_VCID_2,B7,B8,Built,DEM,EVI,EVI_constant,EVI_cos_1,EVI_cos_2,EVI_cos_3,EVI_sin_1,EVI_sin_2,EVI_sin_3,EVI_t,NDBI,NDBI_constant,NDBI_cos_1,NDBI_cos_2,NDBI_cos_3,NDBI_sin_1,NDBI_sin_2,NDBI_sin_3,NDBI_t,NDVI,NDVI_constant,NDVI_cos_1,NDVI_cos_2,NDVI_cos_3,NDVI_sin_1,NDVI_sin_2,NDVI_sin_3,NDVI_t,SLOPE,lrad,prec,pres,shum,srad,temp,wind,.geo
1_00000000000000000000,45,42,43,60,58,200,200,44,46,1,10,27,1521,-148,44,39,26,-66,86,-4,-12,374,120,-41,-43,-4,26,-30,-1,21,1448,-64,10,0,-4,-29,48,-4,0.0,404.0,0.16500111,101440.664,0.015402,189.41667,297.15,5.459997,"{""type"":""Point"",""coordinates"":[108.73230752719932,18.580440897359384]}"
1_00000000000000000002,35,31,28,53,49,200,200,33,40,1,92,31,668,-82,-23,33,6,-15,10,-1,-11,1455,36,-25,-75,42,-30,11,-5,22,338,-63,-42,-22,-21,-33,10,0,3.4682896,404.16666,0.23666778,99934.664,0.016092334,181.08333,296.63,4.048664,"{""type"":""Point"",""coordinates"":[109.61840671123693,18.58528794020448]}"
1_00000000000000000012,36,33,34,48,48,201,200,38,40,1,33,17,-447,-34,-16,-52,-43,-65,-1,2,-7,-1613,11,64,0,96,-28,-34,5,15,-1286,-49,-2,-25,-17,-35,-7,5,1.9699506,410.25,0.27166778,100293.336,0.015782334,171.25,297.25333,2.3719974,"{""type"":""Point"",""coordinates"":[110.00701736804473,19.734416118081693]}"
1_00000000000000000014,31,29,28,67,54,199,199,28,46,1,18,35,-144,-78,-8,5,-59,-50,-74,1,-13,1935,-2,0,12,27,-19,28,-7,26,-951,-131,24,-10,-40,-77,-70,4,3.9306352,413.58334,0.25416777,101266.0,0.015448334,169.66667,297.80334,2.494664,"{""type"":""Point"",""coordinates"":[110.795555880134,19.545229837687145]}"
1_00000000000000000016,41,36,37,52,60,201,201,47,48,1,38,28,-2683,-60,-34,-23,-79,-16,-9,10,-3,-518,-59,17,13,55,-39,38,1,17,-1017,-33,4,9,-40,-33,-20,4,8.097875,410.25,0.24583444,100882.664,0.015048667,166.0,297.23,3.1199973,"{""type"":""Point"",""coordinates"":[110.745163579129,19.844368631857566]}"
1_0000000000000000001b,42,36,33,50,52,199,199,36,41,1,29,24,2600,-34,21,14,-11,-1,53,-8,-4,-263,39,0,-2,12,27,-28,0,16,764,-37,2,-6,-27,-19,12,-2,0.9958137,401.83334,0.22583444,101102.0,0.014270334,166.75,296.31,3.0519974,"{""type"":""Point"",""coordinates"":[110.11454413084755,21.362161907530528]}"
1_0000000000000000001d,45,43,44,58,64,200,200,52,48,1,17,17,1311,-8,1,-15,-29,-71,-16,-4,0,-10,9,20,-19,-32,19,15,0,12,338,-21,0,-2,-27,-26,-1,0,1.361823,400.41666,0.20333445,101172.0,0.014353001,169.83333,296.28,2.782664,"{""type"":""Point"",""coordinates"":[110.69072241436749,21.595007246339367]}"
1_00000000000000000020,31,26,26,39,31,199,199,21,34,1,7,39,1250,-55,-13,-116,-55,4,29,-3,-12,-937,106,-22,13,66,11,61,3,23,-1560,-29,-46,-95,36,94,6,6,2.1984773,406.16666,0.3350011,101582.0,0.014290334,151.91667,296.56,1.9053307,"{""type"":""Point"",""coordinates"":[107.98850271687823,21.55350193373389]}"
1_00000000000000000022,32,29,29,43,50,200,200,41,35,1,42,27,-510,-44,-9,23,-94,-2,-80,2,-5,-858,30,-44,-26,62,33,47,3,21,-574,-35,-13,1,-38,-1,-6,2,0.92740995,399.0,0.24416777,100891.336,0.013987,161.0,295.65332,2.6159973,"{""type"":""Point"",""coordinates"":[109.02956012162414,21.771792766704284]}"
1_00000000000000000033,35,31,29,46,46,200,200,32,35,1,17,26,2492,-88,48,23,-149,-29,-30,-8,-7,-1436,14,-43,-7,77,6,23,5,18,-1090,-34,1,-14,-14,11,-12,4,6.2028236,399.5,0.28666776,100938.664,0.01401,154.33333,295.53668,1.9159973,"{""type"":""Point"",""coordinates"":[108.36821746708442,21.992241804584538]}"
1_00000000000000000035,36,31,27,41,23,198,199,13,34,1,48,31,1202,-81,-49,-44,1,-11,-37,-3,-18,-80,59,-83,27,44,4,5,0,20,-178,-41,-17,-23,-13,5,5,1,4.0858126,396.75,0.23666778,100705.336,0.0137060005,159.41667,295.31,2.3279972,"{""type"":""Point"",""coordinates"":[109.26105435281379,22.019727703477972]}"
1_0000000000000000003a,31,27,25,40,49,200,200,39,33,1,138,29,284,-44,51,-38,56,4,39,0,-8,428,-41,-11,65,-83,-34,-14,-1,20,371,-41,20,4,-17,-13,13,0,5.325368,393.91666,0.23500112,99640.664,0.013526667,167.0,295.42334,2.1579971,"{""type"":""Point"",""coordinates"":[111.1130215796341,22.18627512782418]}"
1_0000000000000000004d,35,30,29,40,42,201,201,32,35,1,79,15,-709,-18,-23,37,-46,-16,20,3,-4,981,23,18,30,-21,-25,33,-3,14,-1614,-2,-6,25,-45,11,21,6,2.21079,393.25,0.20916778,100424.0,0.0133156665,157.66667,294.74332,1.596664,"{""type"":""Point"",""coordinates"":[109.2093109441896,22.51505802579791]}"
1_0000000000000000004e,37,30,25,29,18,198,198,11,28,1,189,22,-483,14,-60,-41,36,79,-62,2,-3,-1098,64,-37,16,-55,0,20,3,18,-424,-10,-43,-19,-17,25,-37,2,2.7313037,368.91666,0.20916778,93244.0,0.011303667,154.08333,291.00333,1.4739972,"{""type"":""Point"",""coordinates"":[109.78791497868262,22.48352772224899]}"
1_0000000000000000004f,39,37,38,53,59,202,202,46,47,1,75,19,1333,-38,-11,-29,-42,-7,25,-4,-6,-1945,54,-28,-14,35,-44,20,7,14,57,-27,-15,-19,-24,-14,17,0,1.8543341,397.75,0.20750111,100449.336,0.013591333,155.25,295.4,1.5379972,"{""type"":""Point"",""coordinates"":[110.04905777277662,22.381392012619813]}"
1_00000000000000000050,36,32,29,47,48,200,199,35,36,1,131,16,1160,-34,18,-13,-27,35,-2,-3,-3,-371,-35,-42,23,5,-14,-25,1,14,598,-35,-10,-11,-27,16,-7,-1,1.8543341,395.33334,0.21833444,99778.0,0.013312001,158.5,295.3033,1.5399972,"{""type"":""Point"",""coordinates"":[110.45303003271357,22.530959180154493]}"
1_00000000000000000056,35,30,26,36,26,199,199,17,31,1,32,20,822,-7,22,-12,-45,-33,26,-2,-4,170,10,7,6,51,-9,-10,0,14,317,-16,23,2,-37,-20,5,0,3.0119245,391.66666,0.20000112,100194.0,0.012915667,167.5,295.41,3.1093307,"{""type"":""Point"",""coordinates"":[112.81757538472851,22.636064651085267]}"
1_00000000000000000064,41,35,32,44,40,200,200,28,38,1,109,21,4077,-121,-6,-88,-84,49,-116,-14,-7,-886,85,-4,-8,-42,50,-20,2,16,1034,-44,-16,-31,-72,46,-50,-3,1.3673614,395.83334,0.1525011,100112.0,0.012849667,150.58333,295.09332,1.5933305,"{""type"":""Point"",""coordinates"":[107.63842761137431,22.65815949680509]}"
1_00000000000000000067,40,34,30,42,34,195,195,24,38,1,74,22,-532,-59,-70,40,45,-59,-39,2,-4,-195,-10,-5,32,-41,-14,-17,0,15,-110,-53,-29,49,-36,-42,9,1,3.8383217,393.83334,0.16916779,100517.336,0.013325334,156.41667,294.77,1.5773306,"{""type"":""Point"",""coordinates"":[108.76006543125702,22.85543012740954]}"
1_0000000000000000006f,35,29,27,29,28,190,190,24,30,1,22,13,-344,-49,-12,0,-45,-29,49,1,-6,-160,-10,39,-21,-61,-23,-1,0,11,-137,-41,10,0,-41,-22,22,0,3.5435333,391.41666,0.16916779,99395.336,0.0129286675,156.25,294.74,1.9013306,"{""type"":""Point"",""coordinates"":[112.0028931631629,23.07830491626287]}"
1_00000000000000000071,39,33,30,32,29,193,193,23,33,1,8,10,-972,-73,-49,32,66,-10,-37,3,-6,-2,20,39,-36,-19,-2,6,0,7,-572,-45,-20,16,31,-12,-15,2,2.2158792,389.83334,0.19333445,99742.0,0.0127220005,162.08333,294.92334,2.5619972,"{""type"":""Point"",""coordinates"":[112.87955688937141,22.89720298607822]}"
1_00000000000000000076,38,35,36,45,55,200,200,42,38,1,45,17,1604,-64,20,-16,-42,-47,2,-5,-2,-2447,30,-46,29,54,-9,-8,9,12,213,-28,0,3,-17,-23,0,0,4.1017165,392.0,0.18333445,100810.0,0.013278667,161.08333,295.22998,2.3139973,"{""type"":""Point"",""coordinates"":[114.87597669481812,23.017937606201322]}"
1_00000000000000000078,38,37,38,55,53,200,200,38,43,1,31,21,2433,-51,-9,1,-59,-25,2,-8,-6,-2448,79,70,15,-61,-14,74,8,14,318,-19,-2,13,-58,-13,-1,0,1.0082484,382.75,0.19083445,98428.0,0.012962667,166.83333,293.91333,2.1379972,"{""type"":""Point"",""coordinates"":[115.47721512625843,23.102018415665093]}"
1_00000000000000000093,37,31,28,47,39,199,199,29,38,1,223,28,1893,-146,112,153,-272,-136,113,-6,-6,-157,60,9,-7,30,33,16,0,21,406,-87,68,99,-169,-52,81,0,2.73874,386.25,0.15083446,98539.336,0.012667,154.16667,293.61334,1.5533305,"{""type"":""Point"",""coordinates"":[108.64580096676248,23.169123427418405]}"
1_00000000000000000096,35,29,25,60,36,197,197,19,40,1,75,40,919,-104,-5,-6,-76,-23,-5,-2,-14,-542,61,37,26,75,-45,58,1,26,-1,-44,-97,-56,-1,50,-57,1,4.0273986,389.58334,0.18166779,99034.664,0.012671667,151.75,294.1,1.4679972,"{""type"":""Point"",""coordinates"":[109.48662243870339,23.123038618031035]}"
1_00000000000000000099,36,31,27,38,38,199,199,27,35,1,37,20,-5558,-39,-20,64,-40,-17,-17,21,-10,5216,-31,-11,-100,83,6,74,-19,16,-2445,-41,-19,27,-29,-37,6,9,5.4696307,391.5,0.20083445,100412.0,0.012912334,157.5,294.65665,1.8359972,"{""type"":""Point"",""coordinates"":[110.90874570127468,23.37744371043329]}"
1_0000000000000000009e,35,34,32,60,46,200,200,26,44,1,9,20,-725,-30,3,42,-59,0,10,3,-8,208,43,17,-12,25,-9,2,-1,14,-744,-25,16,6,-48,-6,12,3,2.7415686,393.41666,0.19083445,100797.336,0.013309667,151.58333,294.93332,1.844664,"{""type"":""Point"",""coordinates"":[112.90812634982083,23.422716963428925]}"
1_0000000000000000009f,41,36,35,50,50,199,199,39,42,1,13,19,1070,-40,47,-39,-16,35,24,-3,-6,1552,72,-41,10,-5,-29,16,-5,14,474,-11,20,-23,-21,-3,2,-1,3.4342601,394.91666,0.19083445,101278.0,0.013463,153.08333,295.20334,2.0359974,"{""type"":""Point"",""coordinates"":[112.99086051076647,23.31842304888987]}"
1_000000000000000000a3,35,32,31,57,56,201,200,35,42,1,83,33,-1939,-88,15,3,-53,12,7,8,-9,-710,89,-41,25,59,2,1,2,21,-2137,-12,0,15,-45,21,-20,8,2.1110425,376.25,0.2000011,97466.0,0.011762667,161.66667,293.02332,2.3819973,"{""type"":""Point"",""coordinates"":[114.81695603327469,23.286085648050285]}"
1_000000000000000000a4,36,34,34,45,51,199,199,39,40,1,102,18,2312,-41,45,-61,-56,41,1,-8,-6,-2663,73,-54,26,37,17,-12,9,12,225,-1,12,-32,-19,21,-9,0,1.8543341,380.33334,0.18666777,98015.336,0.012578667,164.16667,293.54333,2.2099972,"{""type"":""Point"",""coordinates"":[115.19397748644461,23.21844108506951]}"
1_000000000000000000c2,38,35,34,47,46,197,197,35,41,1,179,21,1162,-6,-25,-33,-40,22,-18,-3,-4,-1211,5,-28,0,-1,17,-19,4,14,409,-22,-30,0,-33,15,-27,-1,2.7802885,383.33334,0.15583445,96737.336,0.012081667,148.66667,293.18665,1.6033305,"{""type"":""Point"",""coordinates"":[107.80362838720238,23.39657771305362]}"
1_000000000000000000c3,38,36,36,54,57,200,200,43,47,1,195,30,2001,-57,-71,-110,-18,-38,-33,-6,-8,-1429,-32,6,7,17,34,15,5,19,145,-68,-19,-49,-12,-6,-8,0,0.92740995,384.08334,0.17000112,97254.0,0.012400667,148.0,293.20667,1.5893306,"{""type"":""Point"",""coordinates"":[108.10788622938215,23.639121596653702]}"
1_000000000000000000c5,38,37,39,54,53,201,200,39,44,1,191,25,-1290,-79,-105,22,159,-44,-50,5,-6,-520,39,6,-51,5,39,-30,1,19,-979,-41,-48,-27,66,-7,-33,4,1.3730121,389.33334,0.15583444,99310.0,0.012820001,150.25,294.01666,1.5093306,"{""type"":""Point"",""coordinates"":[108.68945556607571,23.677122055831166]}"
1_000000000000000000c8,34,29,28,39,40,203,203,31,34,1,111,18,-127,-7,-13,2,-60,-29,29,1,-3,-41,-50,31,-7,18,2,-27,0,14,-80,-39,-8,-4,-26,-31,20,0,2.2254896,386.08334,0.19083445,98002.664,0.012117667,145.83333,293.45667,1.2973306,"{""type"":""Point"",""coordinates"":[109.85421289314526,23.59680918675755]}"
1_000000000000000000c9,37,34,35,47,51,202,202,41,40,1,49,21,338,-23,35,-31,-20,24,91,0,-5,-35,-74,-17,43,-29,-80,-75,0,14,-352,-67,10,9,-38,-32,14,1,2.2262886,394.33334,0.20750111,100844.0,0.012911,147.75,294.73,1.4366639,"{""type"":""Point"",""coordinates"":[110.36274661368444,23.653943648555362]}"
1_000000000000000000d0,32,27,27,44,35,199,199,23,34,1,33,25,-434,18,22,-24,31,41,54,2,-8,81,15,-12,4,25,-26,-16,0,18,-1054,0,0,-22,-11,5,42,4,1.0137355,388.33334,0.22750111,100738.0,0.012638334,152.41667,294.31665,2.1959972,"{""type"":""Point"",""coordinates"":[113.26897910257095,23.81860487315595]}"
1_000000000000000000d1,36,30,25,35,26,197,197,15,33,1,45,25,320,-87,-58,25,46,-91,6,0,-5,-667,7,14,-41,-11,25,-10,2,21,77,-55,-11,0,-14,-57,-5,0,1.3724425,388.91666,0.2300011,100610.0,0.0126370005,155.91667,294.63,2.2573304,"{""type"":""Point"",""coordinates"":[113.66136215886996,23.577140092010804]}"
1_000000000000000000f1,40,36,39,48,53,200,200,44,47,1,485,16,-1414,12,21,-6,-16,23,24,5,-4,1376,29,-12,29,38,15,-37,-5,12,-119,-9,-21,10,-39,17,-6,0,2.112301,375.91666,0.13000111,93094.664,0.011197334,147.91667,292.26,1.6306639,"{""type"":""Point"",""coordinates"":[106.3472815240459,23.629958143988876]}"
1_000000000000000000f4,38,37,37,52,55,200,200,42,45,1,213,24,-2074,-57,9,-38,22,-14,19,8,-6,355,-34,-3,-39,0,27,-12,-1,15,-838,-78,20,-29,-4,-7,8,3,10.285227,387.83334,0.16833445,98131.336,0.012124,144.41667,293.85666,1.5413306,"{""type"":""Point"",""coordinates"":[107.6524425659853,23.98057280072027]}"
1_000000000000000000f5,36,31,31,41,49,201,201,38,36,1,172,16,-301,-21,0,-53,28,-8,54,1,-4,-226,6,-6,15,3,9,-27,0,11,-209,-26,-15,-10,12,-5,10,1,2.0251772,384.58334,0.1675011,97558.664,0.012491334,148.5,293.28998,1.5819973,"{""type"":""Point"",""coordinates"":[108.1717583928717,23.711885207643828]}"
1_000000000000000000f6,32,29,28,49,48,202,201,35,36,1,224,36,240,-115,-59,-62,-29,65,-58,0,-8,-425,9,35,3,10,-42,-3,1,22,607,-96,-17,-33,-46,9,-56,-1,5.1427965,376.5,0.17083445,95937.336,0.011723334,146.75,292.00665,1.5053306,"{""type"":""Point"",""coordinates"":[108.53719064240369,23.904036790238923]}"
1_00000000000000000100,36,30,27,43,33,198,198,24,36,1,95,17,66,-35,21,0,-39,24,13,0,-4,290,114,-65,-19,-28,102,-51,-1,14,431,-33,-10,32,-38,-4,0,-1,3.1804426,381.16666,0.20000112,98360.0,0.012338,146.83333,292.8033,2.0199971,"{""type"":""Point"",""coordinates"":[112.28667035420419,23.99242955042138]}"
1_00000000000000000104,38,35,35,52,56,201,201,44,40,1,127,28,1995,-10,-53,-39,29,69,-57,-6,-6,-1332,-12,16,-4,-9,-33,9,4,20,630,-20,-27,-28,-8,7,0,-1,2.7510662,381.41666,0.21833444,99480.664,0.011311667,154.5,293.68332,1.9466639,"{""type"":""Point"",""coordinates"":[114.02302646801182,24.247909286177514]}"
1_00000000000000000105,35,28,25,32,28,193,193,21,28,1,166,23,-559,-120,-65,23,106,-47,-78,2,-8,-1172,13,16,-10,-27,-16,34,4,16,-647,-59,-29,11,50,-25,-10,2,2.9594407,373.58334,0.21833445,97087.336,0.010753334,155.75,292.59665,1.9126639,"{""type"":""Point"",""coordinates"":[114.2038563930322,24.06060920552857]}"
1_00000000000000000127,40,36,34,40,44,200,200,38,38,1,236,25,1245,23,-57,78,-76,-56,-34,-4,-8,1285,151,-155,125,-67,44,-106,-5,16,626,23,-66,67,-52,-32,-37,-2,4.7910495,387.5,0.16416778,97995.336,0.011816334,143.0,293.8,1.4559972,"{""type"":""Point"",""coordinates"":[107.2500845006297,24.14415492286593]}"
1_00000000000000000128,36,30,27,47,39,192,192,26,38,1,227,31,-613,-42,-44,28,-5,7,20,3,-9,960,24,9,-34,12,38,-8,-3,20,-167,-99,10,-16,-23,-10,8,1,8.815716,381.5,0.16833444,96554.664,0.011340001,143.75,292.94666,1.4959972,"{""type"":""Point"",""coordinates"":[107.52497024417042,24.02638560494337]}"
1_0000000000000000012a,39,31,26,30,22,189,189,15,28,1,139,25,110,1,-178,195,-90,31,4,0,-9,517,-82,152,-153,44,-42,-18,-1,17,74,-51,-53,55,-43,-11,4,0,13.268838,390.58334,0.18333444,99517.336,0.0128213335,144.0,294.06332,1.5413306,"{""type"":""Point"",""coordinates"":[108.42211908061849,24.113971267835154]}"
1_0000000000000000012c,37,31,28,44,41,200,200,34,37,1,244,34,-2117,-180,-402,349,381,-205,-58,9,-15,-3293,251,293,-260,-322,241,-7,11,25,-1150,-81,-94,78,70,-51,-16,5,0.0,382.0,0.16500111,97644.0,0.011627667,144.33333,292.87,1.4093306,"{""type"":""Point"",""coordinates"":[109.01446606455823,24.143615371638468]}"
1_0000000000000000012d,41,37,37,51,53,197,197,40,43,1,81,29,-2292,-140,31,20,-103,96,-30,9,-5,1662,71,-1,-19,51,-27,37,-6,21,-67,-79,1,-15,-48,22,-11,0,8.528256,387.41666,0.18083446,99527.336,0.011550334,142.5,293.76334,1.4973305,"{""type"":""Point"",""coordinates"":[109.71677002137488,24.25707273884234]}"
1_0000000000000000015b,38,36,35,59,56,200,200,42,47,1,462,24,-25,-26,1,-22,3,30,-17,0,-6,226,-5,3,7,-3,-1,5,0,14,-89,-67,-7,9,-13,13,-19,0,5.0782003,364.0,0.15416779,91483.336,0.010165667,140.08333,289.96332,1.3253305,"{""type"":""Point"",""coordinates"":[107.05659072861754,24.38157975845666]}"
1_00000000000000000165,33,31,31,46,49,202,202,37,39,1,479,26,1649,-40,-5,23,-89,52,-4,-5,-7,-231,0,29,-27,50,-12,3,0,21,839,-49,-2,7,-39,13,0,-2,8.856806,354.58334,0.19000112,92350.664,0.009409,147.66667,288.78,2.2639973,"{""type"":""Point"",""coordinates"":[111.09793198166923,24.762913162345242]}"
1_00000000000000000194,37,34,33,46,51,201,202,42,41,1,217,22,-1457,-1,-44,62,-27,-43,-45,6,-8,1084,-18,7,-6,-10,50,-7,-4,13,33,-64,-8,6,-33,-18,-39,0,2.116584,382.0,0.15416779,96915.336,0.012179,136.0,292.38,1.6186639,"{""type"":""Point"",""coordinates"":[107.91977905144253,24.74917021289852]}"
1_00000000000000000197,40,34,29,42,29,195,195,20,38,1,155,30,405,-160,60,157,-106,-139,99,0,-5,574,50,18,13,-6,-3,-48,-2,20,25,-100,28,3,-89,-18,16,0,3.8423843,382.16666,0.17166778,98736.664,0.0114336675,140.33333,292.74,1.4093306,"{""type"":""Point"",""coordinates"":[109.2958219637275,24.833251022362298]}"
1_000000000000000001d0,36,31,30,49,53,201,200,39,40,1,164,29,1373,-103,-31,54,-118,3,96,-4,-9,1151,-16,-97,-50,111,5,-118,-4,20,386,-72,-23,20,-58,-2,53,0,2.963033,356.5,0.18333444,92472.664,0.009606667,137.91667,288.50665,1.1886638,"{""type"":""Point"",""coordinates"":[109.32142166287534,25.33639814882892]}"
1_00000000000000000211,37,30,28,34,27,193,193,19,30,1,144,24,-2951,-155,2,33,51,-23,-126,11,-12,1032,-19,-16,79,-44,-85,-14,-4,15,-1061,-123,-15,37,10,-20,-50,4,5.9140754,382.16666,0.16916777,99704.0,0.011203334,137.33333,292.7333,1.6579973,"{""type"":""Point"",""coordinates"":[113.23421149165723,25.974022844865356]}"
1_00000000000000000246,40,38,41,52,62,200,200,54,40,1,123,24,1538,-5,-26,56,-64,4,28,-5,-3,-957,-80,26,-12,27,8,-25,3,15,-229,-41,-38,34,-17,-17,13,1,2.9659274,373.66666,0.15333444,99312.0,0.010566667,138.66667,291.38,2.4273305,"{""type"":""Point"",""coordinates"":[111.66925876324304,26.29687959753905]}"
1_00000000000000000249,36,35,37,44,48,200,199,35,36,1,107,9,986,-70,-24,-8,-9,-21,-19,-3,-5,-4944,216,-76,-31,-11,178,-124,18,7,-57,-64,-5,8,-7,-16,7,0,3.606975,380.58334,0.16500111,99611.336,0.010915333,136.91667,292.50998,1.7013305,"{""type"":""Point"",""coordinates"":[113.10916937991651,26.12143626659122]}"
1_0000000000000000027c,36,29,28,35,30,200,199,26,32,1,144,16,-351,-64,-71,25,-62,-34,-43,1,-8,431,-30,-37,-3,5,-17,-32,-1,11,-404,-97,-18,7,-25,-35,-6,1,1.3898259,373.58334,0.15333444,99398.664,0.010233667,140.16667,291.61,2.0293305,"{""type"":""Point"",""coordinates"":[111.28792535935443,26.39551045374022]}"
1_0000000000000000027d,39,33,29,34,30,198,198,25,34,1,123,21,1399,-69,45,0,-23,-47,77,-4,-8,-570,-29,-5,-17,-8,12,-16,1,14,-246,-81,0,16,-15,-34,22,1,0.92740995,373.5,0.13916779,99737.336,0.010392667,139.08333,291.48334,2.5393307,"{""type"":""Point"",""coordinates"":[111.81909793594197,26.70111940353918]}"
1_00000000000000000281,35,29,28,37,30,190,190,24,32,1,154,15,1139,-80,11,20,-9,-48,0,-3,-9,-1434,20,-34,3,5,8,0,5,15,52,-70,-14,11,1,-18,8,0,1.0360705,380.66666,0.17083445,99063.336,0.011164667,139.25,292.76334,2.7919972,"{""type"":""Point"",""coordinates"":[113.27409815058031,26.47824907378691]}"
1_000000000000000002ae,35,27,20,21,7,191,190,4,24,1,263,6,-2740,-154,167,107,-61,-162,38,10,-19,-7194,-278,472,305,-210,-334,152,24,4,-1490,-105,100,70,-50,-87,12,5,0.0,361.41666,0.13750112,96609.336,0.009561334,138.0,289.30334,1.6646639,"{""type"":""Point"",""coordinates"":[109.61894180336336,26.954712939549708]}"
