window,iteration,year,accuracy
2,1,1990_1992,98.32669322709164
2,1,1993_1995,98.64541832669322
2,1,1996_1998,99.12350597609561
2,1,1999_2001,99.28286852589642
2,1,2002_2004,99.2430278884462
2,1,2005_2007,99.2430278884462
2,1,2008_2010,99.16334661354583
2,1,2011_2013,99.16334661354583
2,1,2014_2016,99.12350597609561
2,1,2017_2019,99.00398406374502
2,2,1990_1992,98.04780876494024
2,2,1993_1995,98.44621513944223
2,2,1996_1998,98.76494023904382
2,2,1999_2001,99.12350597609561
2,2,2002_2004,99.20318725099602
2,2,2005_2007,99.32270916334662
2,2,2008_2010,99.36254980079681
2,2,2011_2013,99.36254980079681
2,2,2014_2016,99.32270916334662
2,2,2017_2019,99.20318725099602
2,3,1990_1992,97.49003984063745
2,3,1993_1995,97.88844621513945
2,3,1996_1998,98.16733067729083
2,3,1999_2001,98.48605577689243
2,3,2002_2004,98.92430278884461
2,3,2005_2007,99.08366533864542
2,3,2008_2010,99.16334661354583
2,3,2011_2013,99.20318725099602
2,3,2014_2016,99.16334661354583
2,3,2017_2019,99.08366533864542
2,4,1990_1992,96.93227091633466
2,4,1993_1995,97.33067729083665
2,4,1996_1998,97.56972111553785
2,4,1999_2001,97.84860557768924
2,4,2002_2004,98.16733067729083
2,4,2005_2007,98.48605577689243
2,4,2008_2010,98.60557768924303
2,4,2011_2013,98.68525896414343
2,4,2014_2016,98.68525896414343
2,4,2017_2019,98.60557768924303
2,5,1990_1992,96.17529880478088
2,5,1993_1995,96.57370517928287
2,5,1996_1998,96.85258964143426
2,5,1999_2001,97.05179282868525
2,5,2002_2004,97.37051792828684
2,5,2005_2007,97.68924302788845
2,5,2008_2010,98.20717131474103
2,5,2011_2013,98.32669322709164
2,5,2014_2016,98.36653386454182
2,5,2017_2019,98.24701195219123
2,6,1990_1992,95.73705179282868
2,6,1993_1995,96.17529880478088
2,6,1996_1998,96.33466135458167
2,6,1999_2001,96.53386454183267
2,6,2002_2004,96.85258964143426
2,6,2005_2007,97.17131474103586
2,6,2008_2010,97.68924302788845
2,6,2011_2013,98.00796812749005
2,6,2014_2016,98.04780876494024
2,6,2017_2019,97.92828685258964
2,7,1990_1992,95.57768924302789
2,7,1993_1995,95.97609561752988
2,7,1996_1998,96.13545816733068
2,7,1999_2001,96.33466135458167
2,7,2002_2004,96.65338645418326
2,7,2005_2007,96.97211155378486
2,7,2008_2010,97.49003984063745
2,7,2011_2013,97.80876494023904
2,7,2014_2016,97.92828685258964
2,7,2017_2019,97.80876494023904
2,8,1990_1992,93.54581673306774
2,8,1993_1995,93.94422310756973
2,8,1996_1998,94.10358565737052
2,8,1999_2001,94.30278884462152
2,8,2002_2004,94.62151394422311
2,8,2005_2007,94.9402390438247
2,8,2008_2010,95.45816733067728
2,8,2011_2013,95.77689243027888
2,8,2014_2016,95.89641434262947
2,8,2017_2019,95.93625498007968
2,9,1990_1992,93.54581673306774
2,9,1993_1995,93.94422310756973
2,9,1996_1998,94.10358565737052
2,9,1999_2001,94.30278884462152
2,9,2002_2004,94.62151394422311
2,9,2005_2007,94.9402390438247
2,9,2008_2010,95.45816733067728
2,9,2011_2013,95.77689243027888
2,9,2014_2016,95.89641434262947
2,9,2017_2019,95.93625498007968
2,10,1990_1992,93.54581673306774
2,10,1993_1995,93.94422310756973
2,10,1996_1998,94.10358565737052
2,10,1999_2001,94.30278884462152
2,10,2002_2004,94.62151394422311
2,10,2005_2007,94.9402390438247
2,10,2008_2010,95.45816733067728
2,10,2011_2013,95.77689243027888
2,10,2014_2016,95.89641434262947
2,10,2017_2019,95.93625498007968
3,1,1990_1992,98.56573705179282
3,1,1993_1995,98.92430278884461
3,1,1996_1998,98.92430278884461
3,1,1999_2001,99.04382470119522
3,1,2002_2004,99.00398406374502
3,1,2005_2007,98.88446215139443
3,1,2008_2010,98.80478087649402
3,1,2011_2013,98.76494023904382
3,1,2014_2016,98.72509960159363
3,1,2017_2019,98.64541832669322
3,2,1990_1992,98.60557768924303
3,2,1993_1995,99.12350597609561
3,2,1996_1998,99.12350597609561
3,2,1999_2001,99.2430278884462
3,2,2002_2004,99.36254980079681
3,2,2005_2007,99.36254980079681
3,2,2008_2010,99.36254980079681
3,2,2011_2013,99.32270916334662
3,2,2014_2016,99.28286852589642
3,2,2017_2019,99.20318725099602
3,3,1990_1992,98.52589641434263
3,3,1993_1995,99.04382470119522
3,3,1996_1998,99.08366533864542
3,3,1999_2001,99.2430278884462
3,3,2002_2004,99.20318725099602
3,3,2005_2007,99.28286852589642
3,3,2008_2010,99.32270916334662
3,3,2011_2013,99.28286852589642
3,3,2014_2016,99.2430278884462
3,3,2017_2019,99.16334661354583
3,4,1990_1992,98.36653386454182
3,4,1993_1995,98.88446215139443
3,4,1996_1998,98.92430278884461
3,4,1999_2001,99.00398406374502
3,4,2002_2004,98.96414342629483
3,4,2005_2007,99.04382470119522
3,4,2008_2010,99.12350597609561
3,4,2011_2013,99.12350597609561
3,4,2014_2016,99.12350597609561
3,4,2017_2019,99.04382470119522
3,5,1990_1992,98.16733067729083
3,5,1993_1995,98.68525896414343
3,5,1996_1998,98.68525896414343
3,5,1999_2001,98.72509960159363
3,5,2002_2004,98.68525896414343
3,5,2005_2007,98.76494023904382
3,5,2008_2010,98.84462151394422
3,5,2011_2013,98.88446215139443
3,5,2014_2016,98.88446215139443
3,5,2017_2019,98.80478087649402
3,6,1990_1992,98.04780876494024
3,6,1993_1995,98.52589641434263
3,6,1996_1998,98.52589641434263
3,6,1999_2001,98.56573705179282
3,6,2002_2004,98.52589641434263
3,6,2005_2007,98.60557768924303
3,6,2008_2010,98.68525896414343
3,6,2011_2013,98.72509960159363
3,6,2014_2016,98.72509960159363
3,6,2017_2019,98.60557768924303
3,7,1990_1992,97.29083665338646
3,7,1993_1995,97.72908366533865
3,7,1996_1998,97.72908366533865
3,7,1999_2001,97.76892430278885
3,7,2002_2004,97.72908366533865
3,7,2005_2007,97.80876494023904
3,7,2008_2010,97.88844621513945
3,7,2011_2013,97.92828685258964
3,7,2014_2016,97.92828685258964
3,7,2017_2019,97.80876494023904
3,8,1990_1992,95.4183266932271
3,8,1993_1995,95.85657370517929
3,8,1996_1998,95.85657370517929
3,8,1999_2001,95.89641434262947
3,8,2002_2004,95.85657370517929
3,8,2005_2007,95.93625498007968
3,8,2008_2010,96.01593625498009
3,8,2011_2013,96.05577689243027
3,8,2014_2016,96.05577689243027
3,8,2017_2019,95.93625498007968
3,9,1990_1992,95.4183266932271
3,9,1993_1995,95.85657370517929
3,9,1996_1998,95.85657370517929
3,9,1999_2001,95.89641434262947
3,9,2002_2004,95.85657370517929
3,9,2005_2007,95.93625498007968
3,9,2008_2010,96.01593625498009
3,9,2011_2013,96.05577689243027
3,9,2014_2016,96.05577689243027
3,9,2017_2019,95.93625498007968
3,10,1990_1992,95.4183266932271
3,10,1993_1995,95.85657370517929
3,10,1996_1998,95.85657370517929
3,10,1999_2001,95.89641434262947
3,10,2002_2004,95.85657370517929
3,10,2005_2007,95.93625498007968
3,10,2008_2010,96.01593625498009
3,10,2011_2013,96.05577689243027
3,10,2014_2016,96.05577689243027
3,10,2017_2019,95.93625498007968
4,1,1990_1992,98.60557768924303
4,1,1993_1995,99.08366533864542
4,1,1996_1998,99.08366533864542
4,1,1999_2001,99.2430278884462
4,1,2002_2004,99.36254980079681
4,1,2005_2007,99.36254980079681
4,1,2008_2010,99.36254980079681
4,1,2011_2013,98.96414342629483
4,1,2014_2016,98.92430278884461
4,1,2017_2019,98.84462151394422
4,2,1990_1992,98.24701195219123
4,2,1993_1995,98.76494023904382
4,2,1996_1998,98.84462151394422
4,2,1999_2001,99.00398406374502
4,2,2002_2004,99.00398406374502
4,2,2005_2007,99.08366533864542
4,2,2008_2010,99.16334661354583
4,2,2011_2013,99.00398406374502
4,2,2014_2016,99.00398406374502
4,2,2017_2019,98.92430278884461
4,3,1990_1992,97.84860557768924
4,3,1993_1995,98.32669322709164
4,3,1996_1998,98.36653386454182
4,3,1999_2001,98.48605577689243
4,3,2002_2004,98.48605577689243
4,3,2005_2007,98.56573705179282
4,3,2008_2010,98.68525896414343
4,3,2011_2013,98.84462151394422
4,3,2014_2016,98.84462151394422
4,3,2017_2019,98.72509960159363
4,4,1990_1992,97.09163346613546
4,4,1993_1995,97.49003984063745
4,4,1996_1998,97.52988047808765
4,4,1999_2001,97.64940239043824
4,4,2002_2004,97.64940239043824
4,4,2005_2007,97.72908366533865
4,4,2008_2010,97.84860557768924
4,4,2011_2013,98.76494023904382
4,4,2014_2016,98.76494023904382
4,4,2017_2019,98.64541832669322
4,5,1990_1992,95.2191235059761
4,5,1993_1995,95.61752988047809
4,5,1996_1998,95.65737051792829
4,5,1999_2001,95.77689243027888
4,5,2002_2004,95.77689243027888
4,5,2005_2007,95.85657370517929
4,5,2008_2010,95.97609561752988
4,5,2011_2013,98.76494023904382
4,5,2014_2016,98.76494023904382
4,5,2017_2019,98.64541832669322
4,6,1990_1992,95.2191235059761
4,6,1993_1995,95.61752988047809
4,6,1996_1998,95.65737051792829
4,6,1999_2001,95.77689243027888
4,6,2002_2004,95.77689243027888
4,6,2005_2007,95.85657370517929
4,6,2008_2010,95.97609561752988
4,6,2011_2013,98.76494023904382
4,6,2014_2016,98.76494023904382
4,6,2017_2019,98.64541832669322
4,7,1990_1992,95.2191235059761
4,7,1993_1995,95.61752988047809
4,7,1996_1998,95.65737051792829
4,7,1999_2001,95.77689243027888
4,7,2002_2004,95.77689243027888
4,7,2005_2007,95.85657370517929
4,7,2008_2010,95.97609561752988
4,7,2011_2013,98.76494023904382
4,7,2014_2016,98.76494023904382
4,7,2017_2019,98.64541832669322
4,8,1990_1992,95.2191235059761
4,8,1993_1995,95.61752988047809
4,8,1996_1998,95.65737051792829
4,8,1999_2001,95.77689243027888
4,8,2002_2004,95.77689243027888
4,8,2005_2007,95.85657370517929
4,8,2008_2010,95.97609561752988
4,8,2011_2013,98.76494023904382
4,8,2014_2016,98.76494023904382
4,8,2017_2019,98.64541832669322
4,9,1990_1992,95.2191235059761
4,9,1993_1995,95.61752988047809
4,9,1996_1998,95.65737051792829
4,9,1999_2001,95.77689243027888
4,9,2002_2004,95.77689243027888
4,9,2005_2007,95.85657370517929
4,9,2008_2010,95.97609561752988
4,9,2011_2013,98.76494023904382
4,9,2014_2016,98.76494023904382
4,9,2017_2019,98.64541832669322
4,10,1990_1992,95.2191235059761
4,10,1993_1995,95.61752988047809
4,10,1996_1998,95.65737051792829
4,10,1999_2001,95.77689243027888
4,10,2002_2004,95.77689243027888
4,10,2005_2007,95.85657370517929
4,10,2008_2010,95.97609561752988
4,10,2011_2013,98.76494023904382
4,10,2014_2016,98.76494023904382
4,10,2017_2019,98.64541832669322
5,1,1990_1992,98.84462151394422
5,1,1993_1995,99.32270916334662
5,1,1996_1998,99.28286852589642
5,1,1999_2001,99.28286852589642
5,1,2002_2004,99.28286852589642
5,1,2005_2007,99.28286852589642
5,1,2008_2010,99.00398406374502
5,1,2011_2013,98.64541832669322
5,1,2014_2016,98.60557768924303
5,1,2017_2019,98.52589641434263
5,2,1990_1992,98.88446215139443
5,2,1993_1995,99.40239043824701
5,2,1996_1998,99.44223107569721
5,2,1999_2001,99.48207171314742
5,2,2002_2004,99.44223107569721
5,2,2005_2007,99.44223107569721
5,2,2008_2010,99.08366533864542
5,2,2011_2013,98.80478087649402
5,2,2014_2016,98.80478087649402
5,2,2017_2019,98.72509960159363
5,3,1990_1992,98.44621513944223
5,3,1993_1995,98.96414342629483
5,3,1996_1998,99.00398406374502
5,3,1999_2001,99.00398406374502
5,3,2002_2004,98.96414342629483
5,3,2005_2007,98.96414342629483
5,3,2008_2010,98.80478087649402
5,3,2011_2013,98.72509960159363
5,3,2014_2016,98.72509960159363
5,3,2017_2019,98.64541832669322
5,4,1990_1992,98.16733067729083
5,4,1993_1995,98.72509960159363
5,4,1996_1998,98.76494023904382
5,4,1999_2001,98.76494023904382
5,4,2002_2004,98.72509960159363
5,4,2005_2007,98.72509960159363
5,4,2008_2010,98.60557768924303
5,4,2011_2013,98.72509960159363
5,4,2014_2016,98.72509960159363
5,4,2017_2019,98.64541832669322
5,5,1990_1992,98.08764940239044
5,5,1993_1995,98.64541832669322
5,5,1996_1998,98.68525896414343
5,5,1999_2001,98.68525896414343
5,5,2002_2004,98.64541832669322
5,5,2005_2007,98.64541832669322
5,5,2008_2010,98.60557768924303
5,5,2011_2013,98.72509960159363
5,5,2014_2016,98.72509960159363
5,5,2017_2019,98.64541832669322
5,6,1990_1992,98.08764940239044
5,6,1993_1995,98.64541832669322
5,6,1996_1998,98.68525896414343
5,6,1999_2001,98.68525896414343
5,6,2002_2004,98.64541832669322
5,6,2005_2007,98.64541832669322
5,6,2008_2010,98.60557768924303
5,6,2011_2013,98.72509960159363
5,6,2014_2016,98.72509960159363
5,6,2017_2019,98.64541832669322
5,7,1990_1992,98.08764940239044
5,7,1993_1995,98.64541832669322
5,7,1996_1998,98.68525896414343
5,7,1999_2001,98.68525896414343
5,7,2002_2004,98.64541832669322
5,7,2005_2007,98.64541832669322
5,7,2008_2010,98.60557768924303
5,7,2011_2013,98.72509960159363
5,7,2014_2016,98.72509960159363
5,7,2017_2019,98.64541832669322
5,8,1990_1992,98.08764940239044
5,8,1993_1995,98.64541832669322
5,8,1996_1998,98.68525896414343
5,8,1999_2001,98.68525896414343
5,8,2002_2004,98.64541832669322
5,8,2005_2007,98.64541832669322
5,8,2008_2010,98.60557768924303
5,8,2011_2013,98.72509960159363
5,8,2014_2016,98.72509960159363
5,8,2017_2019,98.64541832669322
5,9,1990_1992,98.08764940239044
5,9,1993_1995,98.64541832669322
5,9,1996_1998,98.68525896414343
5,9,1999_2001,98.68525896414343
5,9,2002_2004,98.64541832669322
5,9,2005_2007,98.64541832669322
5,9,2008_2010,98.60557768924303
5,9,2011_2013,98.72509960159363
5,9,2014_2016,98.72509960159363
5,9,2017_2019,98.64541832669322
5,10,1990_1992,98.08764940239044
5,10,1993_1995,98.64541832669322
5,10,1996_1998,98.68525896414343
5,10,1999_2001,98.68525896414343
5,10,2002_2004,98.64541832669322
5,10,2005_2007,98.64541832669322
5,10,2008_2010,98.60557768924303
5,10,2011_2013,98.72509960159363
5,10,2014_2016,98.72509960159363
5,10,2017_2019,98.64541832669322
6,1,1990_1992,98.80478087649402
6,1,1993_1995,99.32270916334662
6,1,1996_1998,99.44223107569721
6,1,1999_2001,99.5219123505976
6,1,2002_2004,99.48207171314742
6,1,2005_2007,98.88446215139443
6,1,2008_2010,98.56573705179282
6,1,2011_2013,98.28685258964144
6,1,2014_2016,98.24701195219123
6,1,2017_2019,98.20717131474103
6,2,1990_1992,98.36653386454182
6,2,1993_1995,98.92430278884461
6,2,1996_1998,99.00398406374502
6,2,1999_2001,99.08366533864542
6,2,2002_2004,99.04382470119522
6,2,2005_2007,98.52589641434263
6,2,2008_2010,98.40637450199203
6,2,2011_2013,98.20717131474103
6,2,2014_2016,98.20717131474103
6,2,2017_2019,98.16733067729083
6,3,1990_1992,98.08764940239044
6,3,1993_1995,98.60557768924303
6,3,1996_1998,98.64541832669322
6,3,1999_2001,98.72509960159363
6,3,2002_2004,98.68525896414343
6,3,2005_2007,98.32669322709164
6,3,2008_2010,98.40637450199203
6,3,2011_2013,98.20717131474103
6,3,2014_2016,98.20717131474103
6,3,2017_2019,98.16733067729083
6,4,1990_1992,97.80876494023904
6,4,1993_1995,98.36653386454182
6,4,1996_1998,98.40637450199203
6,4,1999_2001,98.48605577689243
6,4,2002_2004,98.44621513944223
6,4,2005_2007,98.32669322709164
6,4,2008_2010,98.40637450199203
6,4,2011_2013,98.20717131474103
6,4,2014_2016,98.20717131474103
6,4,2017_2019,98.16733067729083
6,5,1990_1992,97.80876494023904
6,5,1993_1995,98.36653386454182
6,5,1996_1998,98.40637450199203
6,5,1999_2001,98.48605577689243
6,5,2002_2004,98.44621513944223
6,5,2005_2007,98.32669322709164
6,5,2008_2010,98.40637450199203
6,5,2011_2013,98.20717131474103
6,5,2014_2016,98.20717131474103
6,5,2017_2019,98.16733067729083
6,6,1990_1992,97.80876494023904
6,6,1993_1995,98.36653386454182
6,6,1996_1998,98.40637450199203
6,6,1999_2001,98.48605577689243
6,6,2002_2004,98.44621513944223
6,6,2005_2007,98.32669322709164
6,6,2008_2010,98.40637450199203
6,6,2011_2013,98.20717131474103
6,6,2014_2016,98.20717131474103
6,6,2017_2019,98.16733067729083
6,7,1990_1992,97.80876494023904
6,7,1993_1995,98.36653386454182
6,7,1996_1998,98.40637450199203
6,7,1999_2001,98.48605577689243
6,7,2002_2004,98.44621513944223
6,7,2005_2007,98.32669322709164
6,7,2008_2010,98.40637450199203
6,7,2011_2013,98.20717131474103
6,7,2014_2016,98.20717131474103
6,7,2017_2019,98.16733067729083
6,8,1990_1992,97.80876494023904
6,8,1993_1995,98.36653386454182
6,8,1996_1998,98.40637450199203
6,8,1999_2001,98.48605577689243
6,8,2002_2004,98.44621513944223
6,8,2005_2007,98.32669322709164
6,8,2008_2010,98.40637450199203
6,8,2011_2013,98.20717131474103
6,8,2014_2016,98.20717131474103
6,8,2017_2019,98.16733067729083
6,9,1990_1992,97.80876494023904
6,9,1993_1995,98.36653386454182
6,9,1996_1998,98.40637450199203
6,9,1999_2001,98.48605577689243
6,9,2002_2004,98.44621513944223
6,9,2005_2007,98.32669322709164
6,9,2008_2010,98.40637450199203
6,9,2011_2013,98.20717131474103
6,9,2014_2016,98.20717131474103
6,9,2017_2019,98.16733067729083
6,10,1990_1992,97.80876494023904
6,10,1993_1995,98.36653386454182
6,10,1996_1998,98.40637450199203
6,10,1999_2001,98.48605577689243
6,10,2002_2004,98.44621513944223
6,10,2005_2007,98.32669322709164
6,10,2008_2010,98.40637450199203
6,10,2011_2013,98.20717131474103
6,10,2014_2016,98.20717131474103
6,10,2017_2019,98.16733067729083
